"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"EC029","Italy","Etichette, collari","Altre etichette","Etichetta per CO2 per colture in vitro","Etichetta per CO2 per colture in vitro",1,"0.50","Etichetta-per-CO2-per-colture-in-vitro.jpg",FALSO,FALSO,"SMR","N011",,
"EC030","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di protossido di azoto medicale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di N2O",,"1.00","Etichette-piccole-per-tubazioni-di-protossido-di-azoto-medicale.jpg",FALSO,FALSO,"SMR","N011",,
"EC031","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di aria medicale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di aria medicale",,"1.00","Etichette-piccole-per-tubazioni-di-aria-medicale.jpg",FALSO,FALSO,"SMR","N011",,
"EC032","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di SDEGA (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di SDEGA",,"1.00","Etichette-piccole-per-tubazioni-di-SDEGA.jpg",FALSO,FALSO,"SMR","N011",,
"EC033","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di ossigeno (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di ossigeno",,"1.00","Etichette-piccole-per-tubazioni-di-ossigeno.jpg",FALSO,FALSO,"SMR","N011",,
"EC034","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di vuoto (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di vuoto",,"1.00","Etichette-piccole-per-tubazioni-di-vuoto.jpg",FALSO,FALSO,"SMR","N011",,
"EC035","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di aria tecnica (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di aria tecnica",,"1.00","Etichette-piccole-per-tubazioni-di-aria-tecnica.jpg",FALSO,FALSO,"SMR","N011",,
"EC036","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di anidride carbonica medicale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di CO2 medicale",,"1.00","Etichette-piccole-per-tubazioni-di-anidride-carbonica-medicale.jpg",FALSO,FALSO,"SMR","N011",,
"EC037","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di aria medicale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di aria medicale",,"32.80","Etichette-grandi-per-tubazioni-di-aria-medicale.jpg",FALSO,FALSO,"SMR","N011",,
"EC038","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di SDEGA (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di SDEGA",,"32.80","Etichette-grandi-per-tubazioni-di-SDEGA.jpg",FALSO,FALSO,"SMR","N011",,
"EC039","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di ossigeno (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di O2",,"32.80","Etichette-grandi-per-tubazioni-di-ossigeno.jpg",FALSO,FALSO,"SMR","N011",,
"EC040","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di vuoto (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di vuoto",,"32.80","Etichette-grandi-per-tubazioni-di-vuoto.jpg",FALSO,FALSO,"SMR","N011",,
"EC041","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di aria tecnica (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di aria tecnica",,"32.80","Etichette-piccole-per-tubazioni-di-aria-tecnica.jpg",FALSO,FALSO,"SMR","N011",,
"EC042","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di acetilene (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di acetilene",,"1.00","Etichette-piccole-per-tubazioni-di-acetilene.jpg",FALSO,FALSO,"SMR","N011",,
"EC043","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di acetilene (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di acetilene",,"32.80","Etichette-grandi-per-tubazioni-di-acetilene.jpg",FALSO,FALSO,"SMR","N011",,
"EC044","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di ammoniaca (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di ammoniaca",,"1.00","Etichette-piccole-per-tubazioni-di-ammoniaca.jpg",FALSO,FALSO,"SMR","N011",,
"EC045","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di ammoniaca (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di ammoniaca",,"32.80","Etichette-piccole-per-tubazioni-di-ammoniaca.jpg",FALSO,FALSO,"SMR","N011",,
"EC046","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di anidride carbonica industriale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di CO2 industriale",,"1.00","Etichette-piccole-per-tubazioni-di-anidride-carbonica-industriale.jpg",FALSO,FALSO,"SMR","N011",,
"EC047","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di anidride carbonica industriale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di CO2 industriale",,"32.80","Etichette-piccole-per-tubazioni-di-anidride-carbonica-industriale.jpg",FALSO,FALSO,"SMR","N011",,
