"Object","ID","Country","Settore","Categoria","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
24967,1309,"Italy","Manutenzione impianti","O-ring e valvole","OR-113 10.77x2.62 in Viton compatibili per ossigeno","OR-113 10.77x2.62 in Viton compatibili per ossigeno",100,"7800","FALSE","FALSE","SMR","N015",,
24968,1310,"Italy","Manutenzione impianti","O-ring e valvole","OR-2050 12.42x1.78 in Viton compatibili per ossigeno","OR-2050 12.42x1.78 in Viton compatibili per ossigeno",50,"2100","FALSE","FALSE","SMR","N015",,
24969,1311,"Italy","Manutenzione impianti","O-ring e valvole","OR-118 13.94x2.62 in Viton compatibili per ossigeno","OR-118 13.94x2.62 in Viton compatibili per ossigeno",100,"4400","FALSE","FALSE","SMR","N015",,
24970,1312,"Italy","Manutenzione impianti","O-ring e valvole","R12 bis 16.00x1.90 in Viton compatibili per ossigeno","R12 bis 16.00x1.90 in Viton compatibili per ossigeno",100,"2500","FALSE","FALSE","SMR","N015",,
24971,1313,"Italy","Manutenzione impianti","O-ring e valvole","R5 bis 6.35x1.78 in Viton compatibili per ossigeno","R5 bis 6.35x1.78 in Viton compatibili per ossigeno",50,"2000","FALSE","FALSE","SMR","N015",,
24972,1314,"Italy","Manutenzione impianti","O-ring e valvole","OR-112 9.92x2.62 in EPDM","OR-112 9.92x2.62 in EPDM",250,"250","FALSE","FALSE","SMR","N015",,
24973,1315,"Italy","Manutenzione impianti","O-ring e valvole","OR-2050 12.42x1.78 in EPDM","OR-2050 12.42x1.78 in EPDM",250,"300","FALSE","FALSE","SMR","N015",,
24974,1316,"Italy","Manutenzione impianti","O-ring e valvole","Valvola di linea G3/4""-G3/4"" sede piana DN10 PN300","Valvola di linea G 3/4"" - G 3/4"" sede piana DN10 PN300 compatibili con ossigeno",1,"7000","FALSE","FALSE","SMR","N015",,
24975,1317,"Italy","Manutenzione impianti","Olio e grasso Fomblin","Tanica 1 kg di olio Fomblin LC250B ad uso pompe vuoto","Tanica da 1 kg di olio Fomblin LC250B ad uso pompe vuoto",1,"12550","FALSE","FALSE","SMR","N015",,
24976,1318,"Italy","Manutenzione impianti","Olio e grasso Fomblin","Tanica 1 kg di olio Fomblin LC250 ad uso ossigeno","Tanica da 1 kg di olio Fomblin LC250 ad uso ossigeno",1,"12550","FALSE","TRUE","SMR","N015",,
24977,1319,"Italy","Manutenzione impianti","Olio e grasso Fomblin","Tubetto da 100 g di grasso Fomblin RT15 uso ossigeno","Tubetto da 100 g di grasso Fomblin RT15 ad uso ossigeno",1,"2980","FALSE","FALSE","SMR","N015",,
24978,1320,"Italy","Manutenzione impianti","Olio e grasso Fomblin","Tanica da 1 kg olio Fomblin Lox 120","Tanica da 1 kg olio Fomblin Lox 120",1,"14580","FALSE","FALSE","SMR","N015",,
24979,1321,"Italy","Manutenzione impianti","Olio e grasso Fomblin","Latta da 1 kg di WAC3 per vuoto","Latta da 1 kg di WAC3 per vuoto",1,"30100","FALSE","FALSE","SMR","N015",,
24980,1322,"Italy","Manutenzione impianti","Olio e grasso Fomblin","Tubetto da 100g WAC3 per vuoto","Tubetto da 100g WAC3 per vuoto",1,"3010","FALSE","FALSE","SMR","N015",,
