"Object","ID","Country","Categoria","Tipologia","Gruppo","Gas","Prodotto","Applicazione","Confezione","Photo","Prezzo"
27871,"ADR0026","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix 3D","Bombola",100,"ADR_Enermix-3D_small.jpg||ADR_Enermix-3D_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27872,"ADR0027","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix BS2","Bombola",100,"ADR_Enermix-BS2_small.jpg||ADR_Enermix-BS2_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27873,"ADR0028","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M11A","Bombola",100,"ADR_Enermix-M11A_small.jpg||ADR_Enermix-M11A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27874,"ADR0029","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M12A","Bombola",100,"ADR_Enermix-M12A_small.jpg||ADR_Enermix-M12A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27875,"ADR0030","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M14A","Bombola",100,"ADR_Enermix-M14A_small.jpg||ADR_Enermix-M14A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27876,"ADR0031","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M14B","Bombola",100,"ADR_Enermix-M14B_small.jpg||ADR_Enermix-M14B_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27877,"ADR0032","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M21A","Bombola",100,"ADR_Enermix-M21A_small.jpg||ADR_Enermix-M21A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27878,"ADR0033","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M23A","Bombola",100,"ADR_Enermix-M23A_small.jpg||ADR_Enermix-M23A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27879,"ADR0034","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M24B","Bombola",100,"ADR_Enermix-M24B_small.jpg||ADR_Enermix-M24B_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27880,"ADR0035","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M24C","Bombola",100,"ADR_Enermix-M24C_small.jpg||ADR_Enermix-M24C_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27881,"ADR0036","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M39A","Bombola",100,"ADR_Enermix-M39A_small.jpg||ADR_Enermix-M39A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27882,"ADR0037","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M112A","Bombola",100,"ADR_Enermix-M112A_small.jpg||ADR_Enermix-M112A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27883,"ADR0038","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M241A","Bombola",100,"ADR_Enermix-M241A_small.jpg||ADR_Enermix-M241A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg","8.00"
27884,"ADR0039","Italy","Etichette ADR","Monogas","Monogas","Acetilene","Acetilene disciolto","Bombola",100,"ADR_Acetilene-disciolto_small.jpg||ADR_Acetilene-disciolto_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27885,"ADR0040","Italy","Etichette ADR","Monogas","Monogas","Idrogeno","Idrogeno compresso","Bombola",100,"ADR_Idrogeno-compresso_small.jpg||ADR_Idrogeno-compresso_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27886,"ADR0041","Italy","Etichette ADR","Monogas","Monogas","Metano","Metano compresso","Bombola",100,"ADR_Metano-compresso_small.jpg||ADR_Metano-compresso_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27887,"ADR0042","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H5","Bombola",100,"ADR_Enermix-NH5_small.jpg||ADR_Enermix-NH5_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27888,"ADR0043","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H7","Bombola",100,"ADR_Enermix-H7_small.jpg||ADR_Enermix-H7_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27889,"ADR0044","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H20","Bombola",100,"ADR_Enermix-H20_small.jpg||ADR_Enermix-H20_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27890,"ADR0045","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H25","Bombola",100,"ADR_Enermix-H25_small.jpg||ADR_Enermix-H25_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27891,"ADR0046","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H35","Bombola",100,"ADR_Enermix-H35_small.jpg||ADR_Enermix-H35_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27892,"ADR0047","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix NH5","Bombola",100,"ADR_Enermix-NH5_small.jpg||ADR_Enermix-NH5_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27893,"ADR0048","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix NH10","Bombola",100,"ADR_Enermix-NH10_small.jpg||ADR_Enermix-NH10_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27894,"ADR0049","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix NH20","Bombola",100,"ADR_Enermix-NH20_small.jpg||ADR_Enermix-NH20_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27895,"ADR0050","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix NH50","Bombola",100,"ADR_Enermix-NH50_small.jpg||ADR_Enermix-NH50_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27896,"ADR0051","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix R11A","Bombola",100,"ADR_Enermix-R11A_small.jpg||ADR_Enermix-R11A_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg","8.00"
27897,"ADR0052","Italy","Etichette ADR","Monogas","Monogas","Ossigeno","Ossigeno compresso","Bombola",100,"ADR_Ossigeno-compresso_small.jpg||ADR_Ossigeno-compresso_large.jpg||ADR_Bombola_comburentii-photo_large.jpg","8.00"
27898,"ADR0053","Italy","Etichette ADR","Monogas","Monogas","Ossigeno","Ossigeno compresso E948","Bombola",100,"ADR_Ossigeno-compresso-e948_small.jpg||ADR_Ossigeno-compresso-E948_large.jpg||ADR_Bombola_comburentii-photo_large.jpg","8.00"
27899,"ADR0054","Italy","Etichette ADR","Monogas","Monogas rari","Protossido azoto","Protossido di azoto","Bombola",100,"ADR_Protossido-di-azoto_small.jpg||ADR_Protossido-di-azoto_large.jpg||ADR_Bombola_comburentii-photo_large.jpg","8.00"
27900,"ADR0055","Italy","Etichette ADR","Monogas","Monogas rari","Protossido azoto","Protossido di azoto E942","Bombola",100,"ADR_Protossido-di-azoto-E942_small.jpg||ADR_Protossido-di-azoto-E942_large.jpg||ADR_Bombola_comburentii-photo_large.jpg","8.00"
27901,"ADR0056","Italy","Etichette ADR","Monogas","Monogas rari","Diossido zolfo","Diossido di zolfo","Bombola",100,"ADR_Diossido-di-zolfo_small.jpg||ADR_Diossido-di-zolfo_large.jpg||ADR_Bombola_tox-1-photo_large.jpg","8.00"
27902,"ADR0057","Italy","Etichette ADR","Monogas","Monogas rari","Diossido zolfo","Diossido di zolfo E220","Bombola",100,"ADR_Diossido-di-zolfo-E220_small.jpg||ADR_Diossido-di-zolfo-E220_large.jpg||ADR_Bombola_tox-1-photo_large.jpg","8.00"
27903,"ADR0058","Italy","Etichette ADR","Monogas","Monogas rari","Etilene","Etilene","Bombola",100,"ADR_Etilene_small.jpg||ADR_Etilene_large.jpg||ADR_Bombola_tox-2-photo_large.jpg","8.00"
27904,"ADR0059","Italy","Etichette ADR","Monogas","Monogas rari","Trifluoruro boro","Trifluoruro di boro","Bombola",100,"ADR_Trifluoruro-di-boro_small.jpg||ADR_Trifluoruro-di-boro_large.jpg||ADR_Bombola_tox-1-photo_large.jpg","8.00"
27905,"ADR0060","Italy","Etichette ADR","Monogas","Monogas rari","Ammoniaca anidra","Ammoniaca anidra","Bombola",100,"ADR_Ammoniaca-anidra_small.jpg||ADR_Ammoniaca-anidra_large.jpg||ADR_Bombola_tox-3-photo_large.jpg","8.00"
27906,"ADR0061","Italy","Etichette ADR","Monogas","Monogas rari","Diossido azoto","Diossido di azoto","Bombola",100,"ADR_Diossido-di-azoto_small.jpg||ADR_Diossido-di-azoto_large.jpg||ADR_Bombola_tox-4-photo_large.jpg","8.00"
27907,"ADR0062","Italy","Etichette ADR","Monogas","Monogas rari","Monoss. Carbonio","Monossido di carbonio compresso","Bombola",100,"ADR_Monossido-di-carbonio-compresso_small.jpg||ADR_Monossido-di-carbonio-compresso_large.jpg||ADR_Bombola_tox-5-photo_large.jpg","8.00"
27908,"ADR0063","Italy","Etichette ADR","Monogas","Monogas rari","Ossido azoto","Ossido di azoto compresso","Bombola",100,"ADR_Ossido-di-azoto-compresso_small.jpg||ADR_Ossido-di-azoto-compresso_large.jpg||ADR_Bombola_tox-4-photo_large.jpg","8.00"
27909,"ADR0064","Italy","Etichette ADR","Monogas","Monogas rari","Ossido etilene","Ossido di etilene","Bombola",100,"ADR_Ossido-di-etilene_small.jpg||ADR_Ossido-di-etilene_large.jpg||ADR_Bombola_tox-5-photo_large.jpg","8.00"
27910,"ADR0065","Italy","Etichette ADR","Monogas","Monogas rari","Solfuro idrogeno","Solfuro di idrogeno","Bombola",100,"ADR_Solfuro-di-idrogeno_small.jpg||ADR_Solfuro-di-idrogeno_large.jpg||ADR_Bombola_tox-5-photo_large.jpg","8.00"
27911,"ADR0066","Italy","Etichette ADR","Monogas","Monogas rari","Tetrossido diazoto","Tetrossido di diazoto","Bombola",100,"ADR_Tetrossido-di-diazoto_small.jpg||ADR_Tetrossido-di-diazoto_large.jpg||ADR_Bombola_tox-4-photo_large.jpg","8.00"
