"Object","ID","Country","Categoria","Tipologia","Gruppo","Gas","Prodotto","Applicazione","Confezione","Photo","Prezzo"
27953,"ADR0108","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix NH50","Bundle",25,"ADR_Bundle_Enermix-NH50_small.jpg||ADR_Bundle_Enermix-NH50_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
27954,"ADR0109","Italy","Etichette ADR","Monogas","Monogas","Ossigeno","Ossigeno compresso","Bundle",25,"ADR_Bundle_Ossigeno-compresso_small.jpg||ADR_Bundle_Ossigeno-compresso_large.jpg||ADR_Bundle_comburente-photo_large.jpg","7.50"
27955,"ADR0110","Italy","Etichette ADR","Monogas","Monogas","Ossigeno","Ossigeno compresso E948","Bundle",25,"ADR_Bundle_Ossigeno-compresso-E948_small.jpg||ADR_Bundle_Ossigeno-compresso-E948_large.jpg||ADR_Bundle_comburente-photo_large.jpg","7.50"
27956,"ADR0111","Italy","Etichette ADR","Monogas","Monogas","Ossigeno","Ossigeno liquido refrigerato","Bundle",25,"ADR_Bundle_Ossigeno-liquido-refrigerato_small.jpg||ADR_Bundle_Ossigeno-liquido-refrigerato_large.jpg||ADR_Bundle_comburente-photo_large.jpg","7.50"
27957,"ADR0112","Italy","Etichette ADR","Monogas","Monogas","Protossido azoto","Protossido di azoto","Bundle",25,"ADR_Bundle_Protossido-di-azoto_small.jpg||ADR_Bundle_Protossido-di-azoto_large.jpg||ADR_Bundle_comburente-photo_large.jpg","7.50"
27958,"ADR0113","Italy","Etichette ADR","Monogas","Altre","MKT","Gas puro","Bundle",25,"ADR_gas-puro_small.jpg||ADR_gas-puro_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27959,"ADR0114","Italy","Etichette ADR","Monogas","Altre","MKT","Gas purissimo","Bundle",25,"ADR_gas-purissimo_small.jpg||ADR_gas-purissimo_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27960,"ADR0115","Italy","Etichette ADR","Monogas","Altre","MKT","Gas ultra puro","Bundle",25,"ADR_gas-ultra-puro_small.jpg||ADR_gas-ultra-puro_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27961,"ADR0116","Italy","Etichette ADR","Monogas","Altre","MKT","Grado elettronica","Bundle",25,"ADR_grado-elettronica_small.jpg||ADR_grado-elettronica_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27962,"ADR0117","Italy","Etichette ADR","Monogas","Altre","MKT","Grado ricerche","Bundle",25,"ADR_grado-ricerche_small.jpg||ADR_grado-ricerche_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27963,"ADR0118","Italy","Etichette ADR","Monogas","Altre","MKT","Grado ricerche extra","Bundle",25,"ADR_grado-ricerche-extra_small.jpg||ADR_grado-ricerche-extra_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27964,"ADR0119","Italy","Etichette ADR","Monogas","Altre","MKT","Compliant HACCP","Bundle",25,"ADR_compliant-HACCP_small.jpg||ADR_compliant-HACCP_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27965,"ADR0120","Italy","Etichette ADR","Monogas","Altre","MKT","HE300","Bundle",25,"ADR_HE300_small.jpg||ADR_HE300_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27966,"ADR0121","Italy","Etichette ADR","Monogas","Altre","MKT","Industriale puro","Bundle",25,"ADR_industriale-puro_small.jpg||ADR_industriale-puro_large.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27967,"ADR0122","Italy","Etichette ADR","Monogas","Altre","MKT","laser","Bundle",25,"ADR_Laser_small.jpg||ADR_Laser_small.jpg||ADR_Bundle_gas-puro-photo_large.jpg","7.50"
27968,"ADR0123","Italy","Etichette ADR","Monogas","Monogas","Azoto","Azoto liquido refrigerato","Dewar",100,"ADR_Dewar_Azoto-liquido-refrigerato_small.jpg||ADR_Dewar_Azoto-liquido-refrigerato_large.jpg","8.00"
27969,"ADR0124","Italy","Etichette ADR","Monogas","Monogas","Ossigeno","Ossigeno liquido refrigerato","Dewar",100,"ADR_Dewar_Ossigeno-liquido-refrigerato_small.jpg||ADR_Dewar_Ossigeno-liquido-refrigerato_large.jpg","8.00"
27970,"ADR0125","Italy","Etichette ADR","Monogas","Monogas","Protossido azoto","Protossido di azoto liquido refrigerato","Dewar",100,"ADR_Dewar_Protossido-di-azoto-liquido-refrigerato_small.jpg||ADR_Dewar_Protossido-di-azoto-liquido-refrigerato_large.jpg","8.00"
27971,"ADR0126","Italy","Etichette ADR","Monogas","Monogas rari","Ammoniaca anidra","Ammoniaca anidra","Bundle",25,"ADR_Bundle_Ammoniaca-anidra_small.jpg||ADR_Bundle_Ammoniaca-anidra_large.jpg||ADR_Bundle_ammoniaca-photo_large.jpg","7.50"
27972,"ADR0127","Italy","Etichette ADR","Monogas","Altre","Simboli","Simboli infiammabile","Bundle",25,"ADR_Bundle_simbolo-infiammabile_small.jpg||ADR_Bundle_simbolo-infiammabile_large.jpg||ADR_Bundle_simbolo_infiammabile-photo_large.jpg","15.00"
27973,"ADR0128","Italy","Etichette ADR","Monogas","Altre","Simboli","Simboli comburente","Bundle",25,"ADR_Bundle_simbolo-comburente_small.jpg||ADR_Bundle_simbolo-comburente_large.jpg||ADR_Bundle_simbolo_comburente-photo_large.jpg","15.00"
27974,"ADR0129","Italy","Etichette ADR","Monogas","Altre","Simboli","Simboli tossico","Bundle",25,"ADR_Bundle_simbolo-tossico_small.jpg||ADR_Bundle_simbolo-tossico_large.jpg","15.00"
27975,"ADR0130","Italy","Etichette ADR","Monogas","Altre","Simboli","Simboli corrosivo","Bundle",25,"ADR_Bundle_simbolo-corrosivo_small.jpg||ADR_Bundle_simbolo-corrosivo_large.jpg||ADR_Bundle_simbolo_corrosivo-photo_large.jpg","15.00"
27976,"ADR0131","Italy","Etichette ADR","Monogas","Altre","Simboli","Simbolo inerte","Bundle",25,"ADR_Bundle_simbolo-inerte_small.jpg||ADR_Bundle_simbolo-inerte_large.jpg||ADR_Bundle_simbolo-inerte-photo_large.jpg","7.50"
