"ACC001","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile nero (confezione da 12 pezzi)","Marcatore per lavagne cancellabile nero",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC002","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile blu (confezione da 12 pezzi)","Marcatore per lavagne cancellabile blu",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC003","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile rosso (confezione da 12 pezzi)","Marcatore per lavagne cancellabile rosso",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC004","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile verde (confezione da 12 pezzi)","Marcatore per lavagne cancellabile verde",12,"7.92",,FALSO,FALSO,"SMR","N010",,
"ACC006","Italy","Comunicazione","Lavagne, pannelli","Pannello bacheca adesivo e riposizionabile 3M color sughero","Pannello bacheca adesivo e riposizionabile 3M color sughero",1,"11.24",,FALSO,FALSO,"SMR","N010",,
"ACC008","Italy","Comunicazione","Lavagne, pannelli","Pannello in sughero 120x90 Nobo","Pannello in sughero 120x90 Nobo",1,"35.91",,FALSO,FALSO,"SMR","N010",,
"ACC022","Italy","Comunicazione","Lavagne, pannelli","Marcatore per lavagne cancellabile in colori assortiti","Marcatore per lavagne cancellabile in colori assortiti",4,"3.67",,FALSO,FALSO,"SMR","N010",,
"ACC023","Italy","Comunicazione","Lavagne, pannelli","Pannello in sughero 45x60","Pannello in sughero 45x60",1,"19.08",,FALSO,FALSO,"SMR","N010",,
"ACC024","Italy","Comunicazione","Lavagne, pannelli","Pannello in sughero 60x90 Nobo","Pannello in sughero 60x90 Nobo",1,"25.11",,FALSO,FALSO,"SMR","N010",,
"ACC025","Italy","Comunicazione","Lavagne, pannelli","Lavagna portablocco a cavalletto","Lavagna portablocco a cavalletto",1,"43.00",,FALSO,FALSO,"SMR","N010",,
