"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
28396,11448,"AU0018","Italy","Accessori ufficio","Acc. Scrivania","Bacinella Portacorrispondenza Acco nera","Bacinella Portacorrispondenza Acco nera",1,"2.50","Bacinella-Portacorrispondenza-Acco.jpg",VERO,FALSO,"SMR","N010",,
28397,11449,"AU0019","Italy","Accessori ufficio","Acc. Scrivania","Bacinella Portacorrispondenza Acco rossa","Bacinella Portacorrispondenza Acco rossa",1,"2.50","Bacinella-Portacorrispondenza-Acco.jpg",VERO,FALSO,"SMR","N010",,
28398,11450,"AU0020","Italy","Accessori ufficio","Acc. Scrivania","Portariviste Rack blu","Portariviste Rack blu",1,"3.56","Portariviste-Rack.jpg",VERO,FALSO,"SMR","N010",,
28399,11451,"AU0021","Italy","Accessori ufficio","Acc. Scrivania","Portariviste Rack nero","Portariviste Rack nero",1,"3.56","Portariviste-Rack.jpg",VERO,FALSO,"SMR","N010",,
28400,11452,"AU0022","Italy","Accessori ufficio","Acc. Scrivania","Portariviste Rack rosso","Portariviste Rack rosso",1,"3.56","Portariviste-Rack.jpg",VERO,FALSO,"SMR","N010",,
28401,11453,"AU0023","Italy","Accessori ufficio","Acc. Scrivania","Perforatore a 4 fori","Perforatore a 4 fori",1,"12.52","Perforatore-a-4-fori.jpg",VERO,FALSO,"SMR","N010",,
28402,11454,"AU0024","Italy","Accessori ufficio","Acc. Scrivania","Scatola di punti Zenith 515","Scatola di punti Zenith 515",1,"0.76","Scatola-di-punti-Zenith-130.jpg",VERO,FALSO,"SMR","N010",,
28403,11455,"AU0025","Italy","Accessori ufficio","Acc. Scrivania","Cucitrice Rapid per alti spessori","Cucitrice Rapid per alti spessori",1,"13.02","Cucitrice-Rapid-per-alti-spessori.jpg",VERO,FALSO,"SMR","N010",,
28404,11456,"AU0026","Italy","Accessori ufficio","Acc. Scrivania","Sottomano trasparente","Sottomano trasparente",1,"4.37","Sottomano-trasparente.jpg",VERO,FALSO,"SMR","N010",,
28405,11457,"AU0027","Italy","Accessori ufficio","Acc. Scrivania","Portaoggetti da scrivania","Portaoggetti da scrivania",1,"16.38","Portaoggetti-da-scrivania.jpg",VERO,FALSO,"SMR","N010",,
28406,11458,"AU0028","Italy","Accessori ufficio","Acc. Scrivania","Bicchiere portapenne nero","Bicchiere portapenne nero",1,"1.32","Bicchiere-PortaPenne.jpg",VERO,FALSO,"SMR","N010",,
28407,11459,"AU0029","Italy","Accessori ufficio","Acc. Scrivania","Bicchiere portapenne nero","Bicchiere portapenne nero",1,"1.32","Bicchiere-PortaPenne.jpg",VERO,FALSO,"SMR","N010",,
28408,11460,"AU0030","Italy","Accessori ufficio","Acc. Scrivania","Spugna bagnadita","Spugna bagnadita",1,"1.49","Spugna-bagnadita.jpg",VERO,FALSO,"SMR","N010",,
28409,11461,"AU0031","Italy","Accessori ufficio","Colla","Colla Stick Pritt 40gr.","Colla Stick Pritt 40gr.",1,"1.28","Colla-Stick-Pritt-40.jpg",VERO,FALSO,"SMR","N010",,
