"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
14543,11465,"AU0035","Italy","Accessori ufficio","Colla","Colla a nastro roller ricaricabile perm.","Colla a nastro roller ricaricabile perm.",1,"4.24",,FALSO,FALSO,"SMR","N010",,
14544,11466,"AU0036","Italy","Accessori ufficio","Colla","Ricarica per colla nastro perm.","Ricarica per colla nastro perm.",1,"3.03",,FALSO,FALSO,"SMR","N010",,
14545,11467,"AU0037","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.2","Scatola da 100 fermagli zincati N.2",10,"1.48",,FALSO,FALSO,"SMR","N010",,
14546,11468,"AU0038","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.3","Scatola da 100 fermagli zincati N.3",10,"1.69",,FALSO,FALSO,"SMR","N010",,
14547,11469,"AU0039","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.4","Scatola da 100 fermagli zincati N.4",10,"1.68",,FALSO,FALSO,"SMR","N010",,
14548,11470,"AU0040","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.6","Scatola da 100 fermagli zincati N.6",10,"5.09",,FALSO,FALSO,"SMR","N010",,
14549,11471,"AU0041","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.5","Scatola da 100 fermagli zincati N.5",10,"3.85",,FALSO,FALSO,"SMR","N010",,
14550,11472,"AU0042","Italy","Accessori ufficio","Fermagli","Molle fermafogli 1,9 mm","Molle fermafogli 1,9 mm (conf.12)",12,"0.44",,FALSO,FALSO,"SMR","N010",,
14551,11473,"AU0043","Italy","Accessori ufficio","Fermagli","Molle fermafogli 2,5 mm","Molle fermafogli 2,5 mm (conf.12)",12,"0.45",,FALSO,FALSO,"SMR","N010",,
14552,11474,"AU0044","Italy","Accessori ufficio","Fermagli","Molle fermafogli 3,2 mm","Molle fermafogli 3,2 mm (conf.12)",12,"0.56",,FALSO,FALSO,"SMR","N010",,
14553,11475,"AU0045","Italy","Accessori ufficio","Fermagli","Molle fermafogli 4,1 mm","Molle fermafogli 4,1 mm (conf.12)",12,"0.97",,FALSO,FALSO,"SMR","N010",,
14554,11476,"AU0046","Italy","Accessori ufficio","Fermagli","Molle fermafogli 5,1 mm","Molle fermafogli 5,1 mm (conf.12)",12,"1.67",,FALSO,FALSO,"SMR","N010",,
14555,11477,"AU0047","Italy","Accessori ufficio","Nastro adesivo, acc.","Scotch Magic 810 permanente 19x33mt.","Scotch Magic 810 permanente 19x33mt.",1,"1.37",,FALSO,FALSO,"SMR","N010",,
14556,11478,"AU0048","Italy","Accessori ufficio","Nastro adesivo, acc.","Nastro adesivo Scotch 508 19x33mt.","Nastro adesivo Scotch 508 19x33mt.",8,"2.35",,FALSO,FALSO,"SMR","N010",,
14557,11479,"AU0049","Italy","Accessori ufficio","Nastro adesivo, acc.","Nastro adesivo Scotch 508 19x66mt.","Nastro adesivo Scotch 508 19x66mt.",8,"3.54",,FALSO,FALSO,"SMR","N010",,
14558,11480,"AU0050","Italy","Accessori ufficio","Nastro adesivo, acc.","Dispenser da tavolo nastro 19x33","Dispenser da tavolo nastro 19x33",1,"1.22",,FALSO,FALSO,"SMR","N010",,
14559,11481,"AU0051","Italy","Accessori ufficio","Timbri, acc.","Portatimbri rotondo 6 posti","Portatimbri rotondo 6 posti",1,"2.21",,FALSO,FALSO,"SMR","N010",,
14560,11482,"AU0052","Italy","Accessori ufficio","Timbri, acc.","Portatimbri rotondo 12 posti","Portatimbri rotondo 12 posti",1,"2.43",,FALSO,FALSO,"SMR","N010",,
14561,11483,"AU0053","Italy","Accessori ufficio","Timbri, acc.","Portatimbri lineare 12 posti","Portatimbri lineare 12 posti",1,"3.69",,FALSO,FALSO,"SMR","N010",,
14562,11484,"AU0054","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri blu","Inchiostro per timbri blu",1,"0.83",,FALSO,FALSO,"SMR","N010",,
14563,11485,"AU0055","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri nero","Inchiostro per timbri nero",1,"0.83",,FALSO,FALSO,"SMR","N010",,
14564,11486,"AU0056","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri rosso","Inchiostro per timbri rosso",1,"0.83",,FALSO,FALSO,"SMR","N010",,
14565,11487,"AU0057","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri nero ad olio","Inchiostro per timbri nero ad olio",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14566,11488,"AU0058","Italy","Accessori ufficio","Timbri, acc.","Cuscinetto per timbri 7x11 blu","Cuscinetto per timbri 7x11 blu",1,"2.36",,FALSO,FALSO,"SMR","N010",,
14567,11489,"AU0059","Italy","Accessori ufficio","Timbri, acc.","Cuscinetto per timbri 7x11 nero","Cuscinetto per timbri 7x11 nero",1,"2.36",,FALSO,FALSO,"SMR","N010",,
14568,11490,"AU0060","Italy","Accessori ufficio","Timbri, acc.","Cuscinetto per timbri 7x11 rosso","Cuscinetto per timbri 7x11 rosso",1,"2.36",,FALSO,FALSO,"SMR","N010",,
14569,11491,"AU0061","Italy","Accessori ufficio","Timbri, acc.","Datario in gomma mm5","Datario in gomma mm5",1,"2.16",,FALSO,FALSO,"SMR","N010",,
14570,11492,"AU0062","Italy","Accessori ufficio","Timbri, acc.","Numeratore automatico 3887","Numeratore automatico 3887",1,"97.30",,FALSO,FALSO,"SMR","N010",,
14571,11493,"AU0063","Italy","Accessori ufficio","Timbri, acc.","Feltri di ricambio per numeratore","Feltri di ricambio per numeratore",1,"5.37",,FALSO,FALSO,"SMR","N010",,
0,0,"AU0064","Italy","Accessori ufficio","Timbri, acc.","Feltro per Colop printer 30","Feltro per Colop printer 30",1,"5.37",,FALSO,FALSO,"SMR","N010",,
0,0,"AU0065","Italy","Accessori ufficio","Timbri, acc.","Feltro per Colop printer 20","Feltro per Colop printer 20",1,"5.37",,FALSO,FALSO,"SMR","N010",,
14572,11494,"AU0066","Italy","Accessori ufficio","Timbri, acc.","Tamponcini di ricambio Trodat 4912","Tamponcini di ricambio Trodat 4912",2,"5.21",,FALSO,FALSO,"SMR","N010",,
14573,11495,"AU0067","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr NERO","Cartoncino per rilegatura 270 gr NERO",100,"4.74",,FALSO,FALSO,"SMR","N010",,
14574,11496,"AU0068","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr BLU","Cartoncino per rilegatura 270 gr BLU",100,"4.74",,FALSO,FALSO,"SMR","N010",,
14575,11497,"AU0069","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr GIALLO","Cartoncino per rilegatura 270 gr GIALLO",100,"4.74",,FALSO,FALSO,"SMR","N010",,
14576,11498,"AU0070","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr BIANCO","Cartoncino per rilegatura 270 gr BIANCO",100,"4.74",,FALSO,FALSO,"SMR","N010",,
14577,11499,"AU0071","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr VERDE","Cartoncino per rilegatura 270 gr VERDE",100,"4.74",,FALSO,FALSO,"SMR","N010",,
14578,11500,"AU0072","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr ROSSO","Cartoncino per rilegatura 270 gr ROSSO",100,"4.74",,FALSO,FALSO,"SMR","N010",,
14579,11501,"AU0073","Italy","Archivio, organizzazione","Acc. rilegatura","Copertina flessibile per rilegatura Channel AA","Copertina flessibile per rilegatura Channel AA",10,"16.18",,FALSO,FALSO,"SMR","N010",,
14580,11502,"AU0074","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 6 tondo","Spirale in plastica ad anelli mm 6 tondo",100,"2.97",,FALSO,FALSO,"SMR","N010",,
14581,11503,"AU0075","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 8 tondo","Spirale in plastica ad anelli mm 8 tondo",100,"3.99",,FALSO,FALSO,"SMR","N010",,
14582,11504,"AU0076","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 10 tondo","Spirale in plastica ad anelli mm 10 tondo",100,"4.73",,FALSO,FALSO,"SMR","N010",,
14583,11505,"AU0077","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 14 tondo","Spirale in plastica ad anelli mm 14 tondo",100,"8.67",,FALSO,FALSO,"SMR","N010",,
14584,11506,"AU0078","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 16 tondo","Spirale in plastica ad anelli mm 16 tondo",100,"7.53",,FALSO,FALSO,"SMR","N010",,
14585,11507,"AU0079","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 19 tondo","Spirale in plastica ad anelli mm 19 tondo",100,"4.89",,FALSO,FALSO,"SMR","N010",,
14586,11508,"AU0080","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 25 tondo","Spirale in plastica ad anelli mm 25 tondo",100,"9.45",,FALSO,FALSO,"SMR","N010",,
14587,11509,"AU0081","Italy","Archivio, organizzazione","Acc. rilegatura","Copertina A4 trasparente","Copertina A4 trasparente",200,"4.85",,FALSO,FALSO,"SMR","N010",,
14588,11510,"AU0082","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm12 tondo","Spirale in plastica ad anelli mm12 tondo",100,"4.77",,FALSO,FALSO,"SMR","N010",,
14589,11511,"AU0083","Italy","Archivio, organizzazione","Acc. rilegatura","Pouches adesive peel'n'stick","Pouches adesive peel'n'stick",100,"50.30",,FALSO,FALSO,"SMR","N010",,
14590,11512,"AU0084","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 22 tondo","Spirale in plastica ad anelli mm 22 tondo",100,"6.04",,FALSO,FALSO,"SMR","N010",,
14591,11513,"AU0085","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa armadio V 33 cm","Cartella sospesa armadio V 33 cm",50,"13.00",,FALSO,FALSO,"SMR","N010",,
14592,11514,"AU0086","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa armadio U 33 cm","Cartella sospesa armadio U 33 cm",50,"17.50",,FALSO,FALSO,"SMR","N010",,
14593,11515,"AU0087","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto V 33 cm","Cartella sospesa cassetto V 33 cm",50,"13.00",,FALSO,FALSO,"SMR","N010",,
14594,11516,"AU0088","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto U 33 cm","Cartella sospesa cassetto U 33 cm",50,"17.50",,FALSO,FALSO,"SMR","N010",,
14595,11517,"AU0089","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto V 39.5 cm","Cartella sospesa cassetto V 39.5 cm",50,"17.50",,FALSO,FALSO,"SMR","N010",,
14596,11518,"AU0090","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto U 39.5 cm","Cartella sospesa cassetto U 39.5 cm",50,"17.50",,FALSO,FALSO,"SMR","N010",,
14597,11519,"AU0091","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr rosso","Cartella manilla semplice senza lembi 190 gr rosso",50,"5.63",,FALSO,FALSO,"SMR","N010",,
14598,11520,"AU0092","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr azzurrro","Cartella manilla semplice senza lembi 190 gr azzurrro",50,"5.63",,FALSO,FALSO,"SMR","N010",,
14599,11521,"AU0093","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr verde","Cartella manilla semplice senza lembi 190 gr verde",50,"5.63",,FALSO,FALSO,"SMR","N010",,
14600,11522,"AU0094","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr giallo","Cartella manilla semplice senza lembi 190 gr giallo",50,"5.63",,FALSO,FALSO,"SMR","N010",,
14601,11523,"AU0095","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi rosso","Cartella manilla tre lembi rosso",50,"3.80",,FALSO,FALSO,"SMR","N010",,
14602,11524,"AU0096","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi verde","Cartella manilla tre lembi verde",50,"3.80",,FALSO,FALSO,"SMR","N010",,
14603,11525,"AU0097","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi giallo","Cartella manilla tre lembi giallo",50,"3.80",,FALSO,FALSO,"SMR","N010",,
14604,11526,"AU0098","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi azzurro","Cartella manilla tre lembi azzurro",50,"3.80",,FALSO,FALSO,"SMR","N010",,
14605,11527,"AU0099","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm rosso","Cartellina presentazione con molla dorso 8mm rosso",5,"2.55",,FALSO,FALSO,"SMR","N010",,
14606,11528,"AU0100","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm verde","Cartellina presentazione con molla dorso 8mm verde",5,"2.55",,FALSO,FALSO,"SMR","N010",,
14607,11529,"AU0101","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm giallo","Cartellina presentazione con molla dorso 8mm giallo",5,"2.55",,FALSO,FALSO,"SMR","N010",,
14608,11530,"AU0102","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm azzurro","Cartellina presentazione con molla dorso 8mm azzurro",5,"2.55",,FALSO,FALSO,"SMR","N010",,
14609,11531,"AU0103","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm bianco","Cartellina presentazione con molla dorso 8mm bianco",5,"2.55",,FALSO,FALSO,"SMR","N010",,
14610,11532,"AU0104","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco rosso","Cartellina full con tasca Acco rosso",5,"1.35",,FALSO,FALSO,"SMR","N010",,
14611,11533,"AU0105","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco verde","Cartellina full con tasca Acco verde",5,"1.35",,FALSO,FALSO,"SMR","N010",,
14612,11534,"AU0106","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco giallo","Cartellina full con tasca Acco giallo",5,"1.35",,FALSO,FALSO,"SMR","N010",,
14613,11535,"AU0107","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco azzurro","Cartellina full con tasca Acco azzurro",5,"1.35",,FALSO,FALSO,"SMR","N010",,
14615,11536,"AU0108","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco trasparente","Cartellina full con tasca Acco trasparente",5,"1.35",,FALSO,FALSO,"SMR","N010",,
14616,11537,"AU0109","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi blu","Cartella con elastico a 3 lembi blu",10,"6.34",,FALSO,FALSO,"SMR","N010",,
14618,11538,"AU0110","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi rosso","Cartella con elastico a 3 lembi rosso",10,"6.34",,FALSO,FALSO,"SMR","N010",,
14619,11539,"AU0111","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi verde","Cartella con elastico a 3 lembi verde",10,"6.34",,FALSO,FALSO,"SMR","N010",,
14621,11540,"AU0112","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi giallo","Cartella con elastico a 3 lembi giallo",10,"6.34",,FALSO,FALSO,"SMR","N010",,
14622,11541,"AU0113","Italy","Archivio, organizzazione","Cartelline","Cartellina blu 21x30 con fermaglio","Cartellina blu 21x30 con fermaglio",10,"1.80",,FALSO,FALSO,"SMR","N010",,
14623,11542,"AU0114","Italy","Archivio, organizzazione","Cartelline","Cartellina rossa 21x30 con fermaglio","Cartellina rossa 21x30 con fermaglio",10,"1.80",,FALSO,FALSO,"SMR","N010",,
14625,11543,"AU0115","Italy","Archivio, organizzazione","Cartelline","Cartellina verde 21x30 con fermaglio","Cartellina verde 21x30 con fermaglio",10,"1.80",,FALSO,FALSO,"SMR","N010",,
14627,11544,"AU0116","Italy","Archivio, organizzazione","Cartelline","Cartellina gialla 21x30 con fermaglio","Cartellina gialla 21x30 con fermaglio",10,"1.80",,FALSO,FALSO,"SMR","N010",,
14628,11545,"AU0117","Italy","Archivio, organizzazione","Cartelline","Cartellina a busta con bottone di colori assortiti","Cartellina a busta con bottone di colori assortiti",6,"3.60",,FALSO,FALSO,"SMR","N010",,
14629,11546,"AU0118","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti azzurro","Cartellina con finestra Blasetti azzurro",50,"4.50",,FALSO,FALSO,"SMR","N010",,
14631,11547,"AU0119","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti verde","Cartellina con finestra Blasetti verde",50,"4.50",,FALSO,FALSO,"SMR","N010",,
14632,11548,"AU0120","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti giallo","Cartellina con finestra Blasetti giallo",50,"4.50",,FALSO,FALSO,"SMR","N010",,
14634,11549,"AU0121","Italy","Archivio, organizzazione","Cartelline","Cartellina con finestra Blasetti rosa","Cartellina con finestra Blasetti rosa",50,"4.50",,FALSO,FALSO,"SMR","N010",,
14635,11550,"AU0122","Italy","Archivio, organizzazione","Cassettiere","Cassettiera Leitz 4 cassetti","Cassettiera Leitz 4 cassetti",1,"33.97",,FALSO,FALSO,"SMR","N010",,
14637,11551,"AU0123","Italy","Archivio, organizzazione","Espositori","Espositore da banco 1/3 di A4","Espositore da banco 1/3 di A4",1,"2.65",,FALSO,FALSO,"SMR","N010",,
14638,0,"AU0124","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Elica","Raccoglitori Elica",,,,FALSO,FALSO,"SMR","N010",,
14640,0,"AU0125","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Dox","Raccoglitori Dox",,,,FALSO,FALSO,"SMR","N010",,
14641,0,"AU0126","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Oxford","Raccoglitori Oxford",,,,FALSO,FALSO,"SMR","N010",,
