"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
27873,"ADR0028","Italy","Etichette ADR","Miscele","Bombola","Enermix M11A","Enermix M11A",100,"ADR_Enermix-M11A_small.jpg||ADR_Enermix-M11A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27874,"ADR0029","Italy","Etichette ADR","Miscele","Bombola","Enermix M12A","Enermix M12A",100,"ADR_Enermix-M12A_small.jpg||ADR_Enermix-M12A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27875,"ADR0030","Italy","Etichette ADR","Miscele","Bombola","Enermix M14A","Enermix M14A",100,"ADR_Enermix-M14A_small.jpg||ADR_Enermix-M14A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27876,"ADR0031","Italy","Etichette ADR","Miscele","Bombola","Enermix M14B","Enermix M14B",100,"ADR_Enermix-M14B_small.jpg||ADR_Enermix-M14B_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27877,"ADR0032","Italy","Etichette ADR","Miscele","Bombola","Enermix M21A","Enermix M21A",100,"ADR_Enermix-M21A_small.jpg||ADR_Enermix-M21A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27878,"ADR0033","Italy","Etichette ADR","Miscele","Bombola","Enermix M23A","Enermix M23A",100,"ADR_Enermix-M23A_small.jpg||ADR_Enermix-M23A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27879,"ADR0034","Italy","Etichette ADR","Miscele","Bombola","Enermix M24B","Enermix M24B",100,"ADR_Enermix-M24B_small.jpg||ADR_Enermix-M24B_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27880,"ADR0035","Italy","Etichette ADR","Miscele","Bombola","Enermix M24C","Enermix M24C",100,"ADR_Enermix-M24C_small.jpg||ADR_Enermix-M24C_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27881,"ADR0036","Italy","Etichette ADR","Miscele","Bombola","Enermix M39A","Enermix M39A",100,"ADR_Enermix-M39A_small.jpg||ADR_Enermix-M39A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27882,"ADR0037","Italy","Etichette ADR","Miscele","Bombola","Enermix M112A","Enermix M112A",100,"ADR_Enermix-M112A_small.jpg||ADR_Enermix-M112A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27883,"ADR0038","Italy","Etichette ADR","Miscele","Bombola","Enermix M241A","Enermix M241A",100,"ADR_Enermix-M241A_small.jpg||ADR_Enermix-M241A_large.jpg||ADR_Bombola_Inerti-photo_large.jpg",
27884,"ADR0039","Italy","Etichette ADR","Monogas","Bombola","Acetilene disciolto","Acetilene disciolto",100,"ADR_Acetilene-disciolto_small.jpg||ADR_Acetilene-disciolto_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27885,"ADR0040","Italy","Etichette ADR","Monogas","Bombola","Idrogeno compresso","Idrogeno compresso",100,"ADR_Idrogeno-compresso_small.jpg||ADR_Idrogeno-compresso_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27886,"ADR0041","Italy","Etichette ADR","Monogas","Bombola","Metano compresso","Metano compresso",100,"ADR_Metano-compresso_small.jpg||ADR_Metano-compresso_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27887,"ADR0042","Italy","Etichette ADR","Miscele","Bombola","Enermix H5","Enermix H5",100,"ADR_Enermix-NH5_small.jpg||ADR_Enermix-NH5_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27888,"ADR0043","Italy","Etichette ADR","Miscele","Bombola","Enermix H7","Enermix H7",100,"ADR_Enermix-H7_small.jpg||ADR_Enermix-H7_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27889,"ADR0044","Italy","Etichette ADR","Miscele","Bombola","Enermix H20","Enermix H20",100,"ADR_Enermix-H20_small.jpg||ADR_Enermix-H20_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27890,"ADR0045","Italy","Etichette ADR","Miscele","Bombola","Enermix H25","Enermix H25",100,"ADR_Enermix-H25_small.jpg||ADR_Enermix-H25_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27891,"ADR0046","Italy","Etichette ADR","Miscele","Bombola","Enermix H35","Enermix H35",100,"ADR_Enermix-H35_small.jpg||ADR_Enermix-H35_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
27892,"ADR0047","Italy","Etichette ADR","Miscele","Bombola","Enermix NH5","Enermix NH5",100,"ADR_Enermix-NH5_small.jpg||ADR_Enermix-NH5_large.jpg||ADR_Bombola_Infiammabile-photo_large.jpg",
