"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"ACC028","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica 60x90","Lavagna magnetica 60x90",1,"25.52",,FALSO,FALSO,"SMR","N010",,
"ACC029","Italy","Comunicazione","Lavagne, pannelli e accessori","Lavagna magnetica 90x120","Lavagna magnetica 90x120",1,"46.26",,FALSO,FALSO,"SMR","N010",,
"ACC030","Italy","Comunicazione","Lavagne, pannelli e accessori","Magnetini blu 40mm","Magnetini blu 40mm",12,"2.64",,FALSO,FALSO,"SMR","N010",,
"ACC031","Italy","Comunicazione","Lavagne, pannelli e accessori","Magnetini rossi 40mm","Magnetini rossi 40mm",12,"2.64",,FALSO,FALSO,"SMR","N010",,
"ACC032","Italy","Comunicazione","Lavagne, pannelli e accessori","Basic kit per lavagne magnetiche","Basic kit per lavagne magnetiche",1,"18.00",,FALSO,FALSO,"SMR","N010",,
"ACC033","Italy","Comunicazione","Lavagne, pannelli e accessori","Gesso bianco rotondo","Gesso bianco rotondo",100,"4.62",,FALSO,FALSO,"SMR","N010",,
"ACC034","Italy","Comunicazione","Lavagne, pannelli e accessori","Cancellino magnetico","Cancellino magnetico",1,"1.96",,FALSO,FALSO,"SMR","N010",,
"ACC035","Italy","Comunicazione","Lavagne, pannelli e accessori","Spray per la pulizia di lavagne bianche","Spray per la pulizia di lavagne bianche",1,"2.82",,FALSO,FALSO,"SMR","N010",,
"ACC036","Italy","Comunicazione","Lavagne, pannelli e accessori","Salviette per lavagne bianche","Salviette per lavagne bianche",100,"1.86",,FALSO,FALSO,"SMR","N010",,
"ACC037","Italy","Comunicazione","Lucidi","Lucidi per stampanti 3M CG3460","Lucidi per stampanti 3M CG3460",50,"42.70",,FALSO,FALSO,"SMR","N010",,
"ACC038","Italy","Comunicazione","Lucidi","Lucidi per fotocopie 3M PP2500","Lucidi per fotocopie",100,"24.94",,FALSO,FALSO,"SMR","N010",,
"ACC039","Italy","Comunicazione","Lucidi","Lucidi per stampanti laser CG3300","Lucidi per stampanti laser CG3300",50,"14.86",,FALSO,FALSO,"SMR","N010",,
"ACC040","Italy","Comunicazione","Portabadge","Portabadge da portafogli","Portabadge da portafogli",1,"0.36",,FALSO,FALSO,"SMR","N013",,
"ACC041","Italy","Comunicazione","Portabadge","Portabadge con attacco per nastro","Portabadge con attacco per nastro",100,"52.91",,FALSO,FALSO,"SMR","N013",,
"ACC042","Italy","Etichettatrici e ricambi","Etichettatrici Dymo","Etichettatrice portatile Dymo LP150","Etichettatrice portatile Dymo LP150",1,"36.28",,FALSO,FALSO,"SMR","N010",,
"ACC043","Italy","Etichettatrici e ricambi","Etichettatrici Dymo","Etichettatrice Dymo LM220","Etichettatrice Dymo LM220",1,"41.00",,FALSO,FALSO,"SMR","N010",,
"ACC044","Italy","Etichettatrici e ricambi","Etichette adesive","Foglio di etichette autoadesive 210X297 mm","Foglio di etichette autoadesive 210X297 mm",100,"6.90",,FALSO,FALSO,"SMR","N010",,
"ACC045","Italy","Etichettatrici e ricambi","Etichette adesive","Foglio di etichette laser-ink jet A4 105X72","Foglio di etichette laser-ink jet A4 105X72",100,"7.07",,FALSO,FALSO,"SMR","N010",,
"ACC046","Italy","Etichettatrici e ricambi","Etichette adesive","Portaetichette trasparente 65x140","Portaetichette trasparente 65x140",10,"2.72",,FALSO,FALSO,"SMR","N010",,
"ACC047","Italy","Etichettatrici e ricambi","Etichette adesive","Etichette adesive 105x48","Etichette adesive 105x48",1200,"4.41",,FALSO,FALSO,"SMR","N012",,
"ACC048","Italy","Etichettatrici e ricambi","Etichette adesive","Foglio di etichette laser 70X36","Foglio di etichette laser 70X36",100,"7.07",,FALSO,FALSO,"SMR","N010",,
"ACC049","Italy","Etichettatrici e ricambi","Etichette adesive","Foglio di etichette laser 210X48","Foglio di etichette laser 210X48",100,"7.07",,FALSO,FALSO,"SMR","N010",,
"ACC050","Italy","Etichettatrici e ricambi","Etichette Avery","Etichetta Poliest. L4775","Etichetta Poliest. L4775",20,"27.31",,FALSO,FALSO,"SMR","N012",,
"ACC051","Italy","Etichettatrici e ricambi","Etichette Avery","Etichetta Poliest. L4773","Etichetta Poliest. L4773",20,"27.31",,FALSO,FALSO,"SMR","N012",,
"ACC052","Italy","Etichettatrici e ricambi","Etichette Avery","Etichetta Poliest. L7068","Etichetta Poliest. L7068",25,"27.31",,FALSO,FALSO,"SMR","N012",,
"ACC053","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su bianco","Nastro Dymo 12mmx7mt nero su bianco",1,"9.36",,FALSO,FALSO,"SMR","N010",,
"ACC054","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su trasparente","Nastro Dymo 12mmx7mt nero su trasparente",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC055","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su giallo","Nastro Dymo 12mmx7mt nero su giallo",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC056","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo 12mmx7mt nero su blu","Nastro Dymo 12mmx7mt nero su blu",1,"10.90",,FALSO,FALSO,"SMR","N010",,
"ACC057","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo Letratag bianco 12x4 mt","Nastro Dymo Letratag bianco 12x4 mt",1,"4.83",,FALSO,FALSO,"SMR","N010",,
"ACC058","Italy","Etichettatrici e ricambi","Ricambi Dymo","Nastro Dymo Letratag giallo 12x4mt","Nastro Dymo Letratag giallo 12x4mt",1,"6.06",,FALSO,FALSO,"SMR","N010",,
