"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12461,"PP001","Italy","Prodotti promozionali","SOL","Bottiglie d'acqua con marchio SOL (cestello da 6 pezzi)","acquaSOL",1,"5.00",FALSO,FALSO,"SMR","N016",,
12462,"PP002","Italy","Prodotti promozionali","SOL","Ombrellino con marchio SOL","ombrellino SOL",1,"3.00",FALSO,FALSO,"SMR","N016",,
12463,"PP003","Italy","Prodotti promozionali","SOL","Penna Balestra","penna Balestra SOL",1,"8.00",FALSO,FALSO,"SMR","N016",,
12464,"PP004","Italy","Prodotti promozionali","SOL","Porta pass con marchio SOL","porta pass SOL",1,"1.40",FALSO,FALSO,"SMR","N016",,
12465,"PP005","Italy","Prodotti promozionali","SOL","Blocco note con marchio SOL","Block notes SOL",1,"1.30",FALSO,FALSO,"SMR","N016",,
12466,"PP006","Italy","Prodotti promozionali","SOL","Penna di plastica con marchio SOL","penna economica SOL",1,"0.35",FALSO,FALSO,"SMR","N016",,
12467,"PP007","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 18x14 cm","Logo SOL adesivo 18x14 cm",1,"1.00",FALSO,FALSO,"SMR","N016",,
12468,"PP008","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 26x21 cm","Logo SOL adesivo 26x21 cm",1,"1.20",FALSO,FALSO,"SMR","N016",,
12469,"PP009","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 4x3.5 cm","Logo SOL adesivo 4x3.5 cm",1,"0.10",FALSO,FALSO,"SMR","N016",,
12470,"PP010","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 6x5 cm","Logo SOL adesivo 6x5 cm",1,"0.20",FALSO,FALSO,"SMR","N016",,
12471,"PP011","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 12x10 cm","Logo SOL adesivo 12x10 cm",1,"0.50",FALSO,FALSO,"SMR","N016",,
12472,"PP012","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 60x47 cm","Logo SOL prespaziato 60x47 cm",1,"20.00",FALSO,FALSO,"SMR","N016",,
12473,"PP013","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 90x70 cm","Logo SOL prespaziato 90x70 cm",1,"35.00",FALSO,FALSO,"SMR","N016",,
12474,"PP014","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 120x93 cm","Logo SOL prespaziato 120x93 cm",1,"53.00",FALSO,FALSO,"SMR","N016",,
12475,"PP015","Italy","Prodotti promozionali","SOL","Logo SolAir 24x20 cm","Logo SolAir 24x20 cm",1,"100",FALSO,FALSO,"SMR","N016",,
12476,"PP016","Italy","Prodotti promozionali","SOL","Mouse portatile","Mouse portatile",1,"1500",FALSO,FALSO,"SMR","N016",,
12477,"PP017","Italy","Prodotti promozionali","SOL","Logo SolMedical 10x3 cm","Logo SolMedical 10x3 cm",1,"20",FALSO,FALSO,"SMR","N016",,
12478,"PP018","Italy","Prodotti promozionali","SOL","Logo SolMedical 12x10 cm","Logo SolMedical 12x10 cm",1,"50",FALSO,FALSO,"SMR","N016",,
