"ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"AU0038","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.3","Scatola da 100 fermagli zincati N.3",10,169,,FALSO,FALSO,"SMR","N010",,
"AU0039","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.4","Scatola da 100 fermagli zincati N.4",10,168,,FALSO,FALSO,"SMR","N010",,
"AU0040","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.6","Scatola da 100 fermagli zincati N.6",10,509,,FALSO,FALSO,"SMR","N010",,
"AU0041","Italy","Accessori ufficio","Fermagli","Scatola da 100 fermagli zincati N.5","Scatola da 100 fermagli zincati N.5",10,385,,FALSO,FALSO,"SMR","N010",,
"AU0042","Italy","Accessori ufficio","Fermagli","Molle fermafogli 1,9 mm","Molle fermafogli 1,9 mm (conf.12)",12,44,,FALSO,FALSO,"SMR","N010",,
"AU0043","Italy","Accessori ufficio","Fermagli","Molle fermafogli 2,5 mm","Molle fermafogli 2,5 mm (conf.12)",12,45,,FALSO,FALSO,"SMR","N010",,
"AU0044","Italy","Accessori ufficio","Fermagli","Molle fermafogli 3,2 mm","Molle fermafogli 3,2 mm (conf.12)",12,56,,FALSO,FALSO,"SMR","N010",,
"AU0045","Italy","Accessori ufficio","Fermagli","Molle fermafogli 4,1 mm","Molle fermafogli 4,1 mm (conf.12)",12,97,,FALSO,FALSO,"SMR","N010",,
"AU0046","Italy","Accessori ufficio","Fermagli","Molle fermafogli 5,1 mm","Molle fermafogli 5,1 mm (conf.12)",12,167,,FALSO,FALSO,"SMR","N010",,
"AU0047","Italy","Accessori ufficio","Nastro adesivo e accessori","Scotch Magic 810 permanente 19x33mt.","Scotch Magic 810 permanente 19x33mt.",1,137,,FALSO,FALSO,"SMR","N010",,
"AU0048","Italy","Accessori ufficio","Nastro adesivo e accessori","Nastro adesivo Scotch 508 19x33mt.","Nastro adesivo Scotch 508 19x33mt.",8,235,,FALSO,FALSO,"SMR","N010",,
"AU0049","Italy","Accessori ufficio","Nastro adesivo e accessori","Nastro adesivo Scotch 508 19x66mt.","Nastro adesivo Scotch 508 19x66mt.",8,354,,FALSO,FALSO,"SMR","N010",,
"AU0050","Italy","Accessori ufficio","Nastro adesivo e accessori","Dispenser da tavolo nastro 19x33","Dispenser da tavolo nastro 19x33",1,122,,FALSO,FALSO,"SMR","N010",,
"AU0051","Italy","Accessori ufficio","Timbri e accessori","Portatimbri rotondo 6 posti","Portatimbri rotondo 6 posti",1,221,,FALSO,FALSO,"SMR","N010",,
"AU0052","Italy","Accessori ufficio","Timbri e accessori","Portatimbri rotondo 12 posti","Portatimbri rotondo 12 posti",1,243,,FALSO,FALSO,"SMR","N010",,
"AU0053","Italy","Accessori ufficio","Timbri e accessori","Portatimbri lineare 12 posti","Portatimbri lineare 12 posti",1,369,,FALSO,FALSO,"SMR","N010",,
