"Object","Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
15589,12016,"MU085","Italy","Toner, cartucce","Canon","Toner Canon IR 2200","Toner Canon IR 2200",1,"38.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
15590,12017,"MU086","Italy","Toner, cartucce","Canon","Toner Canon LBP 5200 (9287A003)","Toner Canon LBP 5200 (9287A003)",1,"62.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15591,12018,"MU087","Italy","Toner, cartucce","EPSON","Nastro nylon nero 7754 S015022","Nastro nylon nero 7754 S015022",1,"4.69",FALSO,FALSO,"SMR","N012",FALSO,VERO
15593,12020,"MU089","Italy","Toner, cartucce","EPSON","Kit Multipack T0615","Kit Multipack T0615",1,"23.68",FALSO,FALSO,"SMR","N012",FALSO,VERO
15594,12021,"MU090","Italy","Toner, cartucce","EPSON","Kit Multipack T0715","Kit Multipack T0715",1,"32.06",FALSO,FALSO,"SMR","N012",FALSO,VERO
15595,12022,"MU091","Italy","Toner, cartucce","EPSON","Inkjet Epson 70441 nero (Stylus C64)","Inkjet Epson 70441 nero (Stylus C64)",1,"15.58",FALSO,FALSO,"SMR","N012",FALSO,VERO
15596,12023,"MU092","Italy","Toner, cartucce","EPSON","Inkjet Epson T0453","Inkjet Epson T0453",1,"9.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
15597,12024,"MU093","Italy","Toner, cartucce","EPSON","Inkjet Epson 70441 ciano (Stylus C64)","Inkjet Epson 70441 ciano (Stylus C64)",1,"11.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
15598,12025,"MU094","Italy","Toner, cartucce","EPSON","Inkjet Epson 70444 giallo (Stylus C64)","Inkjet Epson 70444 giallo (Stylus C64)",1,"11.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
15599,12026,"MU095","Italy","Toner, cartucce","EPSON","Ink jet Epson C13T04104020","Ink jet Epson C13T04104020",1,"30.55",FALSO,FALSO,"SMR","N012",FALSO,VERO
15600,12027,"MU096","Italy","Toner, cartucce","EPSON","Cartuccia Nero D78 (T071140)","Cartuccia Nero D78 (T071140)",1,"8.18",FALSO,FALSO,"SMR","N012",FALSO,VERO
15601,12028,"MU097","Italy","Toner, cartucce","EPSON","Ink jet Epson T0801 nero","Ink jet Epson T0801 nero",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
15602,12029,"MU098","Italy","Toner, cartucce","EPSON","Ink jet Epson T0804 giallo","Ink jet Epson T0804 giallo",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
15603,12030,"MU099","Italy","Toner, cartucce","EPSON","Ink jet Epson T0805 ciano chiaro","Ink jet Epson T0805 ciano chiaro",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
15604,12031,"MU100","Italy","Toner, cartucce","EPSON","Ink jet Epson T0806 magenta chiaro","Ink jet Epson T0806 magenta chiaro",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
15605,12032,"MU101","Italy","Toner, cartucce","EPSON","Ink jet Epson T0803 magenta","Ink jet Epson T0803 magenta",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
15606,12033,"MU102","Italy","Toner, cartucce","EPSON","Ink jet Epson T0802 ciano","Ink jet Epson T0802 ciano",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
15607,12034,"MU103","Italy","Toner, cartucce","EPSON","Cartuccia Epson T040","Cartuccia Epson T040",1,"30.80",FALSO,FALSO,"SMR","N012",FALSO,VERO
15608,12035,"MU107","Italy","Toner, cartucce","EPSON","Ink jet T0712 ciano","Ink jet T0712 ciano",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
15609,12036,"MU108","Italy","Toner, cartucce","EPSON","Ink jet T0713 magenta","Ink jet T0713 magenta",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
15610,12037,"MU109","Italy","Toner, cartucce","EPSON","Ink jet T0714 giallo","Ink jet T0714 giallo",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
15611,12038,"MU110","Italy","Toner, cartucce","EPSON","Toner Epson Laser M1200 (S050522)","Toner Epson Laser M1200 (S050522)",1,"53.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU111","Italy","Toner, cartucce","EPSON","Epson T051140 (020189)","Epson T051140 (020189)",1,3116,FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU112","Italy","Toner, cartucce","EPSON","Epson T052040 (020191)","Epson T052040 (020191)",1,3116,FALSO,FALSO,"SMR","N012",FALSO,VERO
15612,12039,"MU113","Italy","Toner, cartucce","Lexmark","Nastro serie 23xx/24xx 11A3540","Nastro serie 23xx/24xx 11A3540",6,"44.52",FALSO,FALSO,"SMR","N012",FALSO,VERO
15613,12040,"MU114","Italy","Toner, cartucce","Lexmark","Toner Lexmark 64016HE","Toner Lexmark 64016HE",1,"240.05",FALSO,FALSO,"SMR","N012",FALSO,VERO
15614,12041,"MU115","Italy","Toner, cartucce","Lexmark","Cartuccia N.17 nero","Cartuccia N.17 nero",1,"14.24",FALSO,FALSO,"SMR","N012",FALSO,VERO
15615,12042,"MU116","Italy","Toner, cartucce","Lexmark","Cartuccia N.26 color","Cartuccia N.26 color",1,"24.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU117","Italy","Toner, cartucce","Lexmark","Cartuccia 14N0920 cyano","Cartuccia 14N0920 cyano",1,954,FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU118","Italy","Toner, cartucce","Lexmark","Cartuccia 14N0922 giallo","Cartuccia 14N0922 giallo",1,954,FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU119","Italy","Toner, cartucce","Lexmark","Cartuccia 14N0921 magenta","Cartuccia 14N0921 magenta",1,954,FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU120","Italy","Toner, cartucce","Lexmark","Cartuccia 14N0918 nero","Cartuccia 14N0918 nero",1,1527,FALSO,FALSO,"SMR","N012",FALSO,VERO
15616,12043,"MU121","Italy","Toner, cartucce","Minolta","Cartuccia nero Minolta Page 1390 MF","Cartuccia nero Minolta Page 1390 MF",1,"91.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
15617,12044,"MU122","Italy","Toner, cartucce","Minolta","Toner fax 1600 F","Toner fax 1600 F",1,"108.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15618,12045,"MU123","Italy","Toner, cartucce","Oki","Toner Oki Page 14ex","Toner Oki Page 14ex",1,"56.20",FALSO,FALSO,"SMR","N012",FALSO,VERO
15619,12046,"MU124","Italy","Toner, cartucce","Ricoh","Toner Ricoh 1220D","Toner Ricoh 1220D",1,"30.90",FALSO,VERO,"SMR","N010",FALSO,VERO
15620,12047,"MU125","Italy","Toner, cartucce","Ricoh","Toner Ricoh 2220D","Toner Ricoh 2220D",1,"23.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15621,12048,"MU126","Italy","Toner, cartucce","Ricoh","Toner Ricoh 1140L SP1000","Toner Ricoh 1140L SP1000",1,"84.86",FALSO,FALSO,"SMR","N010",FALSO,VERO
15622,12049,"MU127","Italy","Toner, cartucce","Ricoh","Toner Ricoh type 1027","Toner Ricoh type 1027",1,"21.41",FALSO,FALSO,"SMR","N010",FALSO,VERO
15623,12050,"MU128","Italy","Toner, cartucce","Ricoh","Toner Ricoh K163","Toner Ricoh K163",1,"67.19",FALSO,FALSO,"SMR","N012",FALSO,VERO
15624,12051,"MU129","Italy","Toner, cartucce","Samsung","Toner MLT-D1082S","Toner MLT-D1082S",1,"43.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
15625,12052,"MU130","Italy","Toner, cartucce","Samsung","Toner laser Samsung SCX 4216","Toner laser Samsung SCX 4216",1,"68.70",FALSO,FALSO,"SMR","N012",FALSO,VERO
15626,12053,"MU131","Italy","Toner, cartucce","Samsung","Toner laser Samsung K300A nero","Toner laser Samsung K300A nero",1,"42.77",FALSO,FALSO,"SMR","N012",FALSO,VERO
15627,12054,"MU132","Italy","Toner, cartucce","Samsung","Toner CLP M300A magenta","Toner CLP M300A magenta",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
15628,12055,"MU133","Italy","Toner, cartucce","Samsung","Toner CLP Y300A giallo","Toner CLP Y300A giallo",1,"31.74",FALSO,FALSO,"SMR","N012",FALSO,VERO
15629,12056,"MU134","Italy","Toner, cartucce","Samsung","Toner CLP C300A ciano","Toner CLP C300A ciano",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU135","Italy","Toner, cartucce","Samsung","Toner Samsung MLT-D1042S (SCX3200)","Toner Samsung MLT-D1042S (SCX3200)",1,5093,FALSO,FALSO,"SMR","N012",FALSO,VERO
15630,12057,"MU136","Italy","Toner, cartucce","Toner compatibili","Toner HP 5949X compatibile","Toner HP 5949X compatibile",1,"59.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15631,12058,"MU137","Italy","Toner, cartucce","Toner compatibili","Toner HP 2612A compatibile","Toner HP 2612A compatibile",1,"34.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
15632,12059,"MU138","Italy","Toner, cartucce","Toner compatibili","Toner FX3 compatibile","Toner FX3 compatibile",1,"24.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
15633,12060,"MU139","Italy","Toner, cartucce","Toner compatibili","Toner HP 4096A compatibile","Toner HP 4096A compatibile",1,"39.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15634,12061,"MU140","Italy","Toner, cartucce","Toner compatibili","Toner HP 7115X compatibile","Toner HP 7115X compatibile",1,"33.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15635,12062,"MU141","Italy","Toner, cartucce","Toner compatibili","Toner HP 3906A compatibile","Toner HP 3906A compatibile",1,"22.90",FALSO,FALSO,"SMR","N012",FALSO,VERO
15636,12063,"MU142","Italy","Toner, cartucce","Toner compatibili","Toner HP 6470A compatibile","Toner HP 6470A compatibile",1,"73.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15637,12064,"MU143","Italy","Toner, cartucce","Toner compatibili","Toner HP 6471A compatibile","Toner HP 6471A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15638,12065,"MU144","Italy","Toner, cartucce","Toner compatibili","Toner HP 6472A compatibile","Toner HP 6472A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15639,12066,"MU145","Italy","Toner, cartucce","Toner compatibili","Toner HP 6473A compatibile","Toner HP 6473A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15640,12067,"MU146","Italy","Toner, cartucce","Toner compatibili","Toner Lexmark 250 compatibile","Toner Lexmark 250 compatibile",1,"47.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15641,12068,"MU147","Italy","Toner, cartucce","Toner compatibili","Toner HP 92298X compatibile","Toner HP 92298X compatibile",1,"41.00",FALSO,VERO,"SMR","N012",FALSO,VERO
15642,12069,"MU148","Italy","Toner, cartucce","Toner compatibili","Toner HP 7553X compatibile","Toner HP 7553X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15643,12070,"MU149","Italy","Toner, cartucce","Toner compatibili","Toner HP 7551X compatibile","Toner HP 7551X compatibile",1,"98.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15644,12071,"MU150","Italy","Toner, cartucce","Toner compatibili","Toner HP 8061X compatibile","Toner HP 8061X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15645,12072,"MU151","Italy","Toner, cartucce","Toner compatibili","Toner Hp CB436A Compatibile","Toner Hp CB436A Compatibile",1,"41.79",FALSO,FALSO,"SMR","N012",FALSO,VERO
15646,12073,"MU152","Italy","Toner, cartucce","Toner compatibili","Toner HP 505X","Toner HP 505X",1,"86.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
15647,12074,"MU153","Italy","Toner, cartucce","HP","Toner HP C4127X","Toner HP C4127X",1,"89.59",FALSO,FALSO,"SMR",2,FALSO,VERO
15648,12075,"MU154","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
15649,12076,"MU155","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 giallo (C8773EE)","Cartuccia Hp N.363 giallo (C8773EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
15650,12077,"MU156","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 ciano chiaro (C8774EE)","Cartuccia Hp N.363 ciano chiaro (C8774EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
15651,12078,"MU157","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
15652,12079,"MU158","Italy","Toner, cartucce","HP","Toner HP Q7553X","Toner HP Q7553X",1,"104.99",FALSO,FALSO,"SMR","N012",FALSO,VERO
15653,12080,"MU159","Italy","Toner, cartucce","HP","Toner HP Q6470A","Toner HP Q6470A",1,"93.71",FALSO,FALSO,"SMR","N012",FALSO,VERO
15654,12081,"MU160","Italy","Toner, cartucce","HP","Toner HP Q6471A","Toner HP Q6471A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
15655,12082,"MU161","Italy","Toner, cartucce","HP","Toner HP Q6472A","Toner HP Q6472A",1,"93.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
15656,12083,"MU162","Italy","Toner, cartucce","HP","Toner HP Q6473A","Toner HP Q6473A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
