"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"MU033","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Calcolatrice scrivente compatta 12 cifre OS3033/12","Calcolatrice scrivente compatta 12 cifre OS3033/12",1,"24.72",FALSO,VERO,"SMR","N010",,
"MU034","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Distruggidocumenti da scrivania 12 Lt","Distruggidocumenti da scrivania 12 Lt",1,"31.20",FALSO,VERO,"SMR","N010",,
"MU035","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Distruggidocumenti da Medio Ufficio 36 Lt","Distruggidocumenti da Medio Ufficio 36 Lt",1,"180.00",FALSO,VERO,"SMR","N010",,
"MU036","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Rilegatrice manuale a dorsi plastici gbc P100 (art. 14045X)","Rilegatr.manuale a dorsi plast. gbc P100 art. 14045X",1,"299.00",FALSO,VERO,"SMR","N010",,
"MU037","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Etichettatrice portatile LM350 (art. 43910U)","Etichettatrice portatile LM350 (art. 43910U)",1,"124.78",FALSO,VERO,"SMR","N010",,
"MU038","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Calcolatrici e ricambi",,,,FALSO,FALSO,"SMR","N010",,
"MU039","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Plastificatrici e ricambi",,,,FALSO,FALSO,"SMR","N010",,
"MU040","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Cucitrici elettriche",,,,FALSO,FALSO,"SMR","N010",,
"MU041","Italy","Macchine elettrici e accessori","Macchine elettriche per ufficio e accessori","Rotoli carta termica",,,,FALSO,FALSO,"SMR","N010",,
"MU042","Italy","Supporti e accessori PC","Accessori per PC","Chiavetta USB 4GB","Chiavetta USB 4GB",1,"10.85",FALSO,FALSO,"SMR","N012",,
"MU043","Italy","Supporti e accessori PC","Accessori per PC","Filtro protettivo per monitor LCD 17/19''","Filtro protettivo per monitor LCD 17/19''",1,"47.90",FALSO,FALSO,"SMR","N012",,
