"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP032","Italy","Penne, accessori","Matite, portamine, acc","Matita 2HB","Matita 2HB",12,"0.85","Matita-2HB.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP033","Italy","Penne, accessori","Matite, portamine, acc","Astuccio mine 0,7mm","Astuccio mine 0,7mm",1,"0.26","Astuccio-mine-0,7mm.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP034","Italy","Penne, accessori","Matite, portamine, acc","Gomma bianca Elica","Gomma bianca Elica",1,"0.33","Gomma-bianca-Elica.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP036","Italy","Penne, accessori","Penne sfera","Penna a sfera Bic Cristal nero p.media","Penna a sfera Bic Cristal nero p.media cf.50",50,"7.05","Penna-a-sfera-Bic-Cristal-p.media-cf.50.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP037","Italy","Penne, accessori","Penne sfera","Penna a sfera Bic Cristal rosso p.media","Penna a sfera Bic Cristal rosso p.media cf.50",50,"4.99","Penna-a-sfera-Bic-Cristal-p.media-cf.50.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP038","Italy","Penne, accessori","Penne sfera","Penna a sfera Bic Cristal blu p.media","Penna a sfera Bic Cristal blu p.media cf.50",50,"7.05","Penna-a-sfera-Bic-Cristal-p.media-cf.50.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP045","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Blu (confezione da 12 pezzi)","Penna a sfera Pentel Superb Blu",12,"6.96","Penna-a-sfera-Pentel-Superb.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP046","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Rosso (confezione da 12 pezzi)","Penna a sfera Pentel Superb Rosso",12,"6.96","Penna-a-sfera-Pentel-Superb.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP047","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Nero (confezione da 12 pezzi)","Penna a sfera Pentel Superb Nero",12,"6.96","Penna-a-sfera-Pentel-Superb.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP048","Italy","Penne, accessori","Penne sfera","Penna a sfera Pentel Superb Verde (confezione da 12 pezzi)","Penna a sfera Pentel Superb Verde",12,"6.84","Penna-a-sfera-Pentel-Superb.jpg",,FALSO,FALSO,"SMR","N010",,
