"ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"AU0074","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 6 tondo","Spirale in plastica ad anelli mm 6 tondo",100,"2.97","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0075","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 8 tondo","Spirale in plastica ad anelli mm 8 tondo",100,"3.99","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0076","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 10 tondo","Spirale in plastica ad anelli mm 10 tondo",100,"4.73","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0077","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 14 tondo","Spirale in plastica ad anelli mm 14 tondo",100,"8.67","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0078","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 16 tondo","Spirale in plastica ad anelli mm 16 tondo",100,"7.53","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0079","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 19 tondo","Spirale in plastica ad anelli mm 19 tondo",100,"4.89","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0080","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 25 tondo","Spirale in plastica ad anelli mm 25 tondo",100,"9.45","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0081","Italy","Archivio, organizzazione","Acc. rilegatura","Copertina A4 trasparente","Copertina A4 trasparente",200,"4.85","Copertina-A4-trasparente.jpg",VERO,FALSO,"SMR","N010",,
"AU0082","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm12 tondo","Spirale in plastica ad anelli mm12 tondo",100,"4.77","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0083","Italy","Archivio, organizzazione","Acc. rilegatura","Pouches adesive peel'n'stick","Pouches adesive peel'n'stick",100,"50.30","Pouches-adesive-peel'n'stick.jpg",VERO,FALSO,"SMR","N010",,
"AU0084","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 22 tondo","Spirale in plastica ad anelli mm 22 tondo",100,"6.04","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
"AU0085","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa armadio V 33 cm","Cartella sospesa armadio V 33 cm",50,"13.00","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
"AU0086","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa armadio U 33 cm","Cartella sospesa armadio U 33 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
"AU0087","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto V 33 cm","Cartella sospesa cassetto V 33 cm",50,"13.00","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
"AU0088","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto U 33 cm","Cartella sospesa cassetto U 33 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
"AU0089","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto V 39.5 cm","Cartella sospesa cassetto V 39.5 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
