"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
0,"PP001","Italy","Prodotti promozionali","SOL","Bottiglie d'acqua con marchio SOL (cestello da 6 pezzi)","acquaSOL",,"5.00",FALSO,FALSO,"SMR","N016",,
0,"PP002","Italy","Prodotti promozionali","SOL","Ombrellino con marchio SOL","ombrellino SOL",,"3.00",FALSO,FALSO,"SMR","N016",,
0,"PP003","Italy","Prodotti promozionali","SOL","Penna Balestra","penna Balestra SOL",,"8.00",FALSO,FALSO,"SMR","N016",,
0,"PP004","Italy","Prodotti promozionali","SOL","Porta pass con marchio SOL","porta pass SOL",,"1.40",FALSO,FALSO,"SMR","N016",,
0,"PP005","Italy","Prodotti promozionali","SOL","Blocco note con marchio SOL","Block notes SOL",,"1.30",FALSO,FALSO,"SMR","N016",,
0,"PP006","Italy","Prodotti promozionali","SOL","Penna di plastica con marchio SOL","penna economica SOL",,"0.35",FALSO,FALSO,"SMR","N016",,
0,"PP007","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 18x14 cm","Logo SOL adesivo 18x14 cm",,"1.00",FALSO,FALSO,"SMR","N016",,
0,"PP008","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 26x21 cm","Logo SOL adesivo 26x21 cm",,"1.20",FALSO,FALSO,"SMR","N016",,
0,"PP009","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 4x3.5 cm","Logo SOL adesivo 4x3.5 cm",,"0.10",FALSO,FALSO,"SMR","N016",,
0,"PP010","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 6x5 cm","Logo SOL adesivo 6x5 cm",,"0.20",FALSO,FALSO,"SMR","N016",,
0,"PP011","Italy","Prodotti promozionali","SOL","Logo SOL adesivo 12x10 cm","Logo SOL adesivo 12x10 cm",,"0.50",FALSO,FALSO,"SMR","N016",,
0,"PP012","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 60x47 cm","Logo SOL prespaziato 60x47 cm",,"20.00",FALSO,FALSO,"SMR","N016",,
0,"PP013","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 90x70 cm","Logo SOL prespaziato 90x70 cm",,"35.00",FALSO,FALSO,"SMR","N016",,
0,"PP014","Italy","Prodotti promozionali","SOL","Logo SOL prespaziato 120x93 cm","Logo SOL prespaziato 120x93 cm",,"53.00",FALSO,FALSO,"SMR","N016",,
0,"PP015","Italy","Prodotti promozionali","SOL","Logo SolAir 24x20 cm","Logo SolAir 24x20 cm",,100,FALSO,FALSO,"SMR","N016",,
0,"PP016","Italy","Prodotti promozionali","SOL","Mouse portatile","Mouse portatile",,1500,FALSO,FALSO,"SMR","N016",,
0,"PP017","Italy","Prodotti promozionali","SOL","Logo SolMedical 10x3 cm","Logo SolMedical 10x3 cm",,20,FALSO,FALSO,"SMR","N016",,
0,"PP018","Italy","Prodotti promozionali","SOL","Logo SolMedical 12x10 cm","Logo SolMedical 12x10 cm",,50,FALSO,FALSO,"SMR","N016",,
0,"PP019","Italy","Prodotti promozionali","SOL","Portabiglietti","Portabiglietti",,250,FALSO,FALSO,"SMR","N016",,
0,"PP020","Italy","Prodotti promozionali","SOL","Logo SolMedical 15x4.5 cm","Logo SolMedical 15x4.5 cm",,30,FALSO,FALSO,"SMR","N016",,
0,"PP021","Italy","Prodotti promozionali","SOL","Logo SolMedical 20x6 cm","Logo SolMedical 20x6 cm",,50,FALSO,FALSO,"SMR","N016",,
0,"PP022","Italy","Prodotti promozionali","SOL","Logo SolMedical 24x20 cm","Logo SolMedical 24x20 cm",,100,FALSO,FALSO,"SMR","N016",,
0,"PP023","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 4.5x1.2 cm","Logo SolMedical negativo 4.5x1.2 cm",,15,FALSO,FALSO,"SMR","N016",,
0,"PP024","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 10x3 cm","Logo SolMedical negativo 10x3 cm",,20,FALSO,FALSO,"SMR","N016",,
0,"PP025","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 15x4.5 cm","Logo SolMedical negativo 15x4.5 cm",,30,FALSO,FALSO,"SMR","N016",,
0,"PP026","Italy","Prodotti promozionali","SOL","Logo SolMedical negativo 20x6 cm","Logo SolMedical negativo 20x6 cm",,50,FALSO,FALSO,"SMR","N016",,
0,"PP027","Italy","Prodotti promozionali","SOL","Chiave USB 1 GB","Chiave USB 1 GB",,1100,FALSO,FALSO,"SMR","N016",,
0,"PP028","Italy","Prodotti promozionali","SOL","Borsa plastificata","Borsa plastificata",,200,FALSO,FALSO,"SMR","N016",,
0,"PP029","Italy","Prodotti promozionali","SOL","Borsa bianca di juta","Borsa bianca di juta",,100,FALSO,FALSO,"SMR","N016",,
0,"PP030","Italy","Prodotti promozionali","SOL","Cartelletta plastificata","Cartelletta plastificata",,100,FALSO,FALSO,"SMR","N016",,
0,"PP031","Italy","Prodotti promozionali","SOL","Borsa blu di juta","Borsa blu di juta",,100,FALSO,FALSO,"SMR","N016",,
0,"PP032","Italy","Prodotti promozionali","SOL","Porta CD","Porta CD",,300,FALSO,FALSO,"SMR","N016",,
0,"PP033","Italy","Prodotti promozionali","SOL","Gel igienizzante SOL","Gel igienizzante SOL",,200,FALSO,FALSO,"SMR","N016",,
0,"PP034","Italy","Prodotti promozionali","SOL","Cartellina SOLution point","Cartellina SOLution point",,100,FALSO,FALSO,"SMR","N016",,
0,"PP035","Italy","Prodotti promozionali","VIVISOL","Kit per congresso provinciale o stage","Kit per congresso provinciale o stage",,40000,FALSO,FALSO,"SMR","N016",,
0,"PP036","Italy","Prodotti promozionali","VIVISOL","Penne con logo VIVISOL","Penne con logo VIVISOL",,60,FALSO,FALSO,"SMR","N016",,
0,"PP037","Italy","Prodotti promozionali","VIVISOL","VIVISOL folder (solo per l'Italia)","VIVISOL folder (solo per l'Italia)",,90,FALSO,FALSO,"SMR","N016",,
0,"PP038","Italy","Prodotti promozionali","VIVISOL","Blocco note VIVISOL","Blocco note VIVISOL",,120,FALSO,FALSO,"SMR","N016",,
0,"PP039","Italy","Prodotti promozionali","VIVISOL","Kit per congresso internazionale","Kit per congresso internazionale",,190000,FALSO,FALSO,"SMR","N016",,
0,"PP040","Italy","Prodotti promozionali","VIVISOL","Kit per congresso nazionale","Kit per congresso nazionale",,190000,FALSO,FALSO,"SMR","N016",,
0,"PP041","Italy","Prodotti promozionali","VIVISOL","Kit per congresso regionale","Kit per congresso regionale",,60000,FALSO,FALSO,"SMR","N016",,
0,"PP042","Italy","Prodotti promozionali","VIVISOL","Card VIVISOL personalizzate","Card VIVISOL personalizzate",,26000,FALSO,FALSO,"SMR","N016",,
0,"PP043","Italy","Prodotti promozionali","VIVISOL","Borse economiche in juta","Borse economiche in juta",,80,FALSO,FALSO,"SMR","N016",,
0,"PP044","Italy","Prodotti promozionali","VIVISOL","Borse congressuali shopper stilizzate 40x33 cm","Borse congressuali shopper stilizzate 40x33 cm",,260,FALSO,FALSO,"SMR","N016",,
0,"PP045","Italy","Prodotti promozionali","VIVISOL","VIVISOL Folders (for foreign branches only)","VIVISOL Folders (for foreign branches only)",,90,FALSO,FALSO,"SMR","N016",,
0,"PP046","Italy","Prodotti promozionali","VIVISOL","Cartelletta per aerosolterapia","Cartelletta per aerosolterapia",,0,FALSO,FALSO,"SMR","N016",,
0,"PP047","Italy","Prodotti promozionali","VIVISOL","Monografia VIVISOL Italia","Monografia VIVISOL Italia",,0,FALSO,FALSO,"SMR","N016",,
0,"PP048","Italy","Prodotti promozionali","VIVISOL","Leva fustella con manico in legno e logo VIVISOL (solo per servizio farmacia)","Leva fustella con manico in legno e logo VIVISOL (solo per servizio farmacia)",,450,FALSO,FALSO,"SMR","N016",,
