"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
11977,"MU042","Italy","Supporti, acc PC","Acc PC","Chiavetta USB 4GB","Chiavetta USB 4GB",1,"10.85",FALSO,FALSO,"SMR","N012",,
11978,"MU043","Italy","Supporti, acc PC","Acc PC","Filtro protettivo per monitor LCD 17/19''","Filtro protettivo per monitor LCD 17/19''",1,"47.90",FALSO,FALSO,"SMR","N012",,
11979,"MU044","Italy","Supporti, acc PC","Acc PC","Confezione di salviette bagnate per lo schermo del PC","Confezione di salviette bagnate per lo schermo del PC",,"1.81",FALSO,FALSO,"SMR","N012",,
11980,"MU045","Italy","Supporti, acc PC","Acc PC","Bomboletta spray antipolvere di aria","Bomboletta spray antipolvere di aria",1,"4.62",FALSO,FALSO,"SMR","N012",,
11981,"MU046","Italy","Supporti, acc PC","Acc PC","Braccio porta monitor LCD","Braccio porta monitor LCD",1,"32.56",FALSO,FALSO,"SMR","N012",,
11982,"MU047","Italy","Supporti, acc PC","Acc PC","Hard disk portatile 320 GB","Hard disk portatile 320 GB",1,"62.72",FALSO,FALSO,"SMR","N012",,
11983,"MU048","Italy","Supporti, acc PC","Acc PC","Chiavetta USB 2 GB","Chiavetta USB 2 GB",1,"6.90",FALSO,FALSO,"SMR","N012",,
11984,"MU049","Italy","Supporti, acc PC","Acc PC","Mouse wireless","Mouse wireless",1,"19.27",FALSO,FALSO,"SMR","N012",,
11985,"MU050","Italy","Supporti, acc PC","Acc PC","Tastiera a filo","Tastiera a filo",1,"9.22",FALSO,FALSO,"SMR","N012",,
11986,"MU051","Italy","Supporti, acc PC","Acc PC","Tastiera e mouse wireless","Tastiera e mouse wireless",1,"27.85",FALSO,FALSO,"SMR","N012",,
11987,"MU052","Italy","Supporti, acc PC","Acc PC","Mouse USB con filo","Mouse USB con filo",1,"4.56",FALSO,FALSO,"SMR","N012",,
11988,"MU053","Italy","Supporti, acc PC","Acc PC","Borsa per notebook fino a 17""","Borsa per notebook fino a 17""",1,"23.32",FALSO,FALSO,"SMR","N012",,
11989,"MU054","Italy","Supporti, acc PC","CD","CD-R registrabile 52X Imation 700Mb/80min.","CD-R registrabile 52X Imation 700Mb/80min.",1,"0.52",FALSO,FALSO,"SMR","N012",,
11990,"MU055","Italy","Supporti, acc PC","CD","CD-RW riscrivibile 1X-4X Imation 700Mb/80min.","CD-RW riscrivibile 1X-4X Imation 700Mb/80min.",1,"0.68",FALSO,FALSO,"SMR","N012",,
11991,"MU056","Italy","Supporti, acc PC","CD","Cd R Leomat spindle","Cd R Leomat spindle 50pz",50,"21.43",FALSO,FALSO,"SMR","N012",,
11992,"MU057","Italy","Supporti, acc PC","CD","Cd R Leomat spindle","Cd R Leomat spindle 100pz",100,"39.25",FALSO,FALSO,"SMR","N012",,
11993,"MU058","Italy","Supporti, acc PC","CD","Cd R Imation spindle","Cd R Imation spindle 50pz",50,"20.85",FALSO,FALSO,"SMR","N012",,
11994,"MU059","Italy","Supporti, acc PC","CD","Cd R Imation spindle","Cd R Imation spindle 100pz",100,"41.63",FALSO,FALSO,"SMR","N012",,
11995,"MU060","Italy","Supporti, acc PC","CD","Custodia universale per CD e DVD","Custodia universale per CD e DVD",10,"2.31",FALSO,FALSO,"SMR","N012",,
11996,"MU061","Italy","Supporti, acc PC","DVD","DVD+RW 4,7 GB","DVD+RW 4,7 GB",1,"1.47",FALSO,FALSO,"SMR","N012",,
11997,"MU062","Italy","Supporti, acc PC","DVD","DVD-RW 4,7 GB","DVD-RW 4,7 GB",1,"1.47",FALSO,FALSO,"SMR","N012",,
11998,"MU063","Italy","Supporti, acc PC","DVD","DVD-R 4,7 GB","DVD-R 4,7 GB",1,"1.11",FALSO,FALSO,"SMR","N012",,
11999,"MU064","Italy","Supporti, acc PC","DVD","DVD+R 4,7GB","DVD+R 4,7GB",1,"1.11",FALSO,FALSO,"SMR","N012",,
12000,"MU065","Italy","Toner, cartucce","Canon","Toner FX2","Toner FX2",1,"55.28",FALSO,FALSO,"SMR","N012",FALSO,VERO
12001,"MU066","Italy","Toner, cartucce","Canon","Toner FX3","Toner FX3",1,"45.79",FALSO,FALSO,"SMR","N012",FALSO,VERO
12002,"MU067","Italy","Toner, cartucce","Canon","Toner FX4","Toner FX4",1,"69.72",FALSO,FALSO,"SMR","N012",FALSO,VERO
12003,"MU068","Italy","Toner, cartucce","Canon","Toner Cartridge T per fax Canon L380 - L390 - L400","Toner Cartridge T per fax Canon L380 - L390 - L400",1,"72.74",FALSO,FALSO,"SMR","N012",FALSO,VERO
12004,"MU069","Italy","Toner, cartucce","Canon","Toner FX3","Toner FX3",2,"99.00",FALSO,VERO,"SMR","N012",FALSO,VERO
12005,"MU070","Italy","Toner, cartucce","Canon","Cartuccia Canon Bci-3 Black","Cartuccia Canon Bci-3 Black",1,"9.81",FALSO,VERO,"SMR","N012",FALSO,VERO
